2	 272	 'ISCCP CLOUD 0.3 <= tau < 1.3 '	 'TMPMN09 '	 'DA7ISCCP'	 apj
2	 272	 'ISCCP CLOUD 0.3 <= tau < 1.3 '	 'TMPMN12 '	 'DA7ISCCP'	 apj
2	 272	 'ISCCP CLOUD 0.3 <= tau < 1.3 '	 'TMPMN15 '	 'DA7ISCCP'	 apj
2	 272	 'ISCCP CLOUD 0.3 <= tau < 1.3 '	 'TMPMN18 '	 'DA7ISCCP'	 apj
2	 272	 'ISCCP CLOUD 0.3 <= tau < 1.3 '	 'TMPMN21 '	 'DA7ISCCP'	 apj
2	 273	 'ISCCP CLOUD 1.3 <= tau < 3.6 '	 'TMONMN '	 'DA7ISCCP'	 apj
2	 273	 'ISCCP CLOUD 1.3 <= tau < 3.6 '	 'TMPMN00 '	 'DA7ISCCP'	 apj
2	 273	 'ISCCP CLOUD 1.3 <= tau < 3.6 '	 'TMPMN03 '	 'DA7ISCCP'	 apj
2	 273	 'ISCCP CLOUD 1.3 <= tau < 3.6 '	 'TMPMN06 '	 'DA7ISCCP'	 apj
2	 273	 'ISCCP CLOUD 1.3 <= tau < 3.6 '	 'TMPMN09 '	 'DA7ISCCP'	 apj
2	 273	 'ISCCP CLOUD 1.3 <= tau < 3.6 '	 'TMPMN12 '	 'DA7ISCCP'	 apj
2	 273	 'ISCCP CLOUD 1.3 <= tau < 3.6 '	 'TMPMN15 '	 'DA7ISCCP'	 apj
2	 273	 'ISCCP CLOUD 1.3 <= tau < 3.6 '	 'TMPMN18 '	 'DA7ISCCP'	 apj
2	 273	 'ISCCP CLOUD 1.3 <= tau < 3.6 '	 'TMPMN21 '	 'DA7ISCCP'	 apj
2	 274	 'ISCCP CLOUD 3.6 <= tau < 9.4 '	 'TMONMN '	 'DA7ISCCP'	 apj
2	 274	 'ISCCP CLOUD 3.6 <= tau < 9.4 '	 'TMPMN00 '	 'DA7ISCCP'	 apj
2	 274	 'ISCCP CLOUD 3.6 <= tau < 9.4 '	 'TMPMN03 '	 'DA7ISCCP'	 apj
2	 274	 'ISCCP CLOUD 3.6 <= tau < 9.4 '	 'TMPMN06 '	 'DA7ISCCP'	 apj
2	 274	 'ISCCP CLOUD 3.6 <= tau < 9.4 '	 'TMPMN09 '	 'DA7ISCCP'	 apj
